Intersection at: (-4374.19225801545,9966.661893816432) -> s6540 s5197
Intersection at: (-1167.6814858126775,9954.973655706473) -> s6462 s6469
Intersection at: (6245.089425118532,9934.17768431761) -> s4084 s3469
Intersection at: (-6786.629558809594,9931.654111260534) -> s4259 s7487
Intersection at: (6210.984441357077,9930.920513837997) -> s4084 s7935
Intersection at: (-4377.719507499211,9930.72083535117) -> s745 s5197
Intersection at: (1521.7527167588546,9922.678685945724) -> s8996 s3950
Intersection at: (-4776.188153535918,9920.747187114199) -> s6280 s1170
Intersection at: (-278.0630349055367,9917.934272412978) -> s1252 s6912
Intersection at: (2606.4463014968806,9917.819071209602) -> s82 s3202
Intersection at: (-8216.464389169338,9914.32677236036) -> s2065 s4660
Intersection at: (360.57380889762817,9912.890093965581) -> s5837 s6920
Intersection at: (1542.5567734094946,9899.964274180033) -> s8996 s7005
Intersection at: (-5404.937002623898,9888.412405613202) -> s2995 s6847
Intersection at: (-6105.2392981150115,9885.036269876115) -> s378 s9607
Intersection at: (6182.929875882279,9879.9817756588) -> s3469 s7935
Intersection at: (-6965.132687999151,9879.881911598468) -> s1854 s5589
Intersection at: (-3952.5508494508877,9879.291581480342) -> s5072 s9957
Intersection at: (-3943.679799076762,9874.53439606979) -> s5072 s3378
Intersection at: (-4118.90250758179,9871.003882818351) -> s3860 s9859
Intersection at: (-4735.911702126399,9866.07048904509) -> s5867 s1170
Intersection at: (-8207.668089106703,9863.199909607572) -> s6540 s4660
Intersection at: (4356.189854803953,9861.167297970862) -> s3432 s9926
Intersection at: (-6162.194743953059,9860.099226410926) -> s4582 s9607
Intersection at: (8016.371792403608,9859.063321865924) -> s4124 s4200
Intersection at: (-1664.7112577597588,9855.956431715456) -> s5074 s1496
Intersection at: (-192.37452618781882,9852.196522418828) -> s7426 s6912
Intersection at: (9169.162429444728,9844.72773512266) -> s2202 s8469
Intersection at: (2949.349361518846,9843.573153541281) -> s8481 s8464
Intersection at: (5292.84236519604,9843.23405465421) -> s4084 s8307
Intersection at: (9724.864035390117,9840.340649509404) -> s7920 s9124
Intersection at: (-4840.858657668729,9839.17605862448) -> s3302 s6611
Intersection at: (6687.944811426486,9834.373278425803) -> s3456 s3777
Intersection at: (9099.770714675018,9831.868797537463) -> s8469 s3772
Intersection at: (2841.100664645526,9831.213944327035) -> s324 s8933
Intersection at: (-3968.317973580038,9826.150533489501) -> s3378 s9957
Intersection at: (4365.693764740087,9824.276073102712) -> s6896 s9926
Intersection at: (453.8348552977473,9822.946915600052) -> s5522 s1430
Intersection at: (-2592.609829963184,9822.640236923204) -> s3090 s5240
Intersection at: (2691.1634698519815,9821.294964665267) -> s82 s9981
Intersection at: (6617.561566516977,9821.282617097853) -> s3777 s2509
Intersection at: (-3107.069588703252,9818.052452885282) -> s8918 s5096
Intersection at: (-9166.020015959748,9815.864642212824) -> s8837 s4003
Intersection at: (13.725824153710919,9813.68325920274) -> s8816 s8985
Intersection at: (1193.4059172166217,9813.312970098423) -> s9127 s6724
Intersection at: (-130.9599567753964,9805.081037852138) -> s7281 s6912
Intersection at: (437.40923038562465,9798.733530248917) -> s5837 s1430
Intersection at: (2852.7960076614854,9797.90795514584) -> s324 s8464
Intersection at: (8901.814877600864,9795.18571855592) -> s8469 s171
Intersection at: (7784.90986236643,9794.983620532641) -> s4124 s6373
Intersection at: (9144.628875993041,9794.72407476311) -> s2202 s2694
Intersection at: (8344.67536548959,9790.376587124309) -> s548 s171
Intersection at: (2836.359555895325,9790.134285968821) -> s8933 s8464
Intersection at: (354.0235708491277,9788.246912114104) -> s3379 s6920
Intersection at: (8091.453020670809,9788.190815856642) -> s171 s1608
Intersection at: (7749.718685750304,9785.241024474768) -> s171 s4124
Intersection at: (-1834.4122705061186,9780.20371030344) -> s4794 s1084
Intersection at: (1181.1485686853466,9778.30867903464) -> s1895 s6724
Intersection at: (-7863.902100769682,9768.166107130108) -> s2065 s6066
Intersection at: (-1189.1950434850253,9762.210322344532) -> s6469 s1180
Intersection at: (631.630086424955,9761.84754804578) -> s365 s4728
Intersection at: (-3414.515255708989,9752.664764012303) -> s328 s3881
Intersection at: (-6066.790973560065,9748.51242247323) -> s1017 s378
Intersection at: (-741.8120564923591,9746.346180569937) -> s2362 s2947
Intersection at: (-7520.058142272411,9745.527606106614) -> s9663 s1873
Intersection at: (4013.9518392229866,9742.11682584976) -> s6863 s2006
Intersection at: (-7429.268386786838,9740.459315236481) -> s8606 s1873
Intersection at: (2566.103500846619,9739.13142962154) -> s2135 s8955
Intersection at: (1197.3293269909575,9738.839058885193) -> s1895 s9127
Intersection at: (-3230.344524167154,9735.047819236817) -> s7248 s6535
Intersection at: (6012.781959994653,9731.632551424811) -> s3818 s3469
Intersection at: (-2196.996641894118,9728.72140690158) -> s2564 s1371
Intersection at: (4027.245158403671,9723.75960939082) -> s1214 s2006
Intersection at: (1203.6866371700523,9723.331712863337) -> s1895 s135
Intersection at: (5236.423571259468,9715.75425154582) -> s2970 s2469
Intersection at: (-4674.670747281979,9708.715380390548) -> s7436 s8903
Intersection at: (1301.9169553706229,9707.206340271847) -> s3235 s7000
Intersection at: (3368.8481159758053,9707.138571719717) -> s8348 s5353
Intersection at: (-364.4950768554266,9704.227463330724) -> s9988 s5839
Intersection at: (-3215.2496644892776,9703.112315876264) -> s8918 s6535
Intersection at: (1199.2311976802841,9702.737872161732) -> s9127 s135
Intersection at: (-2850.7799944270473,9701.361787987846) -> s3090 s3158
Intersection at: (4443.162095657288,9698.65738318909) -> s4199 s2029
Intersection at: (832.3177544203421,9697.780976212103) -> s3841 s3997
Intersection at: (-234.3388313195401,9692.557175147618) -> s1252 s5838
Intersection at: (-7435.198723326207,9692.302471234168) -> s8606 s9663
Intersection at: (8308.460549730542,9685.23157931448) -> s548 s8469
Intersection at: (-4748.147508081231,9676.835770865377) -> s3302 s6280
Intersection at: (2822.663912068746,9671.467451050148) -> s82 s8933
Intersection at: (-8812.992777466294,9669.093234266935) -> s9001 s8446
Intersection at: (3988.7268159170353,9665.924849716619) -> s1214 s6863
Intersection at: (-3257.098403218728,9658.648492678989) -> s8918 s7248
Intersection at: (879.2716449339529,9657.814658098872) -> s8084 s7166
Intersection at: (-4745.093515755068,9650.270633672264) -> s2995 s6280
Intersection at: (-1817.1540508014061,9650.137391690103) -> s5951 s7156
Intersection at: (-4729.8305205808465,9644.762120231957) -> s2995 s3302
Intersection at: (4297.912876269576,9639.886691473472) -> s6896 s2029
Intersection at: (-663.0976988443294,9635.576755954346) -> s7226 s6756
Intersection at: (2508.0743625246455,9634.870818811538) -> s136 s8464
Intersection at: (-3182.086966128981,9632.95151362101) -> s2220 s6535
Intersection at: (-3720.2050714120737,9629.82967849357) -> s7430 s2485
Intersection at: (2133.4590227051754,9620.887715177078) -> s3343 s4706
Intersection at: (4418.681084006931,9618.595766432154) -> s4199 s9926
Intersection at: (3431.6936107491388,9615.13018754141) -> s2118 s5455
Intersection at: (9702.907023129232,9612.564720501143) -> s4771 s1972
Intersection at: (-2350.188788034716,9610.185290789965) -> s1466 s4548
Intersection at: (565.5535445704991,9608.345890227196) -> s5837 s4728
Intersection at: (5041.499619323295,9605.335800947261) -> s8788 s8962
Intersection at: (-8554.781009977025,9602.318782623648) -> s405 s4878
Intersection at: (571.9812077536939,9598.796128834449) -> s5837 s6838
Intersection at: (3686.581636188994,9598.743471343501) -> s2965 s8160
Intersection at: (158.26427577567276,9597.507676123856) -> s7965 s2059
Intersection at: (4133.622013539418,9576.860033039295) -> s3432 s2006
Intersection at: (-8757.373633636684,9564.501041308882) -> s9001 s6615
Intersection at: (-3750.9029306096672,9563.557155523464) -> s7430 s3614
Intersection at: (-2906.9448930688413,9554.33376876734) -> s3158 s5096
Intersection at: (-104.1045299734589,9552.153372979728) -> s8985 s1499
Intersection at: (-4676.286151424242,9551.004159776954) -> s5533 s3302
Intersection at: (6748.409284853978,9548.866598431576) -> s7732 s7271
Intersection at: (536.0830340936773,9539.883284770083) -> s6838 s4728
Intersection at: (2946.9011464838873,9529.91541048624) -> s82 s324
Intersection at: (8114.657159345055,9525.213349132715) -> s4255 s8794
Intersection at: (5985.650260340217,9521.780730156352) -> s1485 s7935
